year,product_hs,product,partner_code,partner_name,tons,value_usd
2013,252310,clinker,251,251,51300.0,2398350
2014,252310,clinker,376,Israel,52040.0,2218070
2014,252310,clinker,768,Togo,47101.0,2025344
2014,252310,clinker,276,276,1.0,464
2014,252310,clinker,694,694,70000.0,3005000
2014,252310,clinker,120,Cameroon,45350.0,1999100
2014,252310,clinker,196,196,112405.0,4909888
2014,252310,clinker,384,CotedIvoire,53875.0,2418250
2014,252310,clinker,268,268,84973.647,3668430
2014,252310,clinker,807,807,2.386,108
2014,252310,clinker,724,Spain,139250.0,5939438
2014,252310,clinker,214,DominicanRep,126525.0,5287488
2014,252310,clinker,784,784,12000.0,924000
2014,252310,clinker,300,300,85306.3,4121639
2014,252310,clinker,56,56,75425.0,6160910
2014,252310,clinker,682,682,4536.0,412152
2014,252310,clinker,478,Mauritania,214925.0,9268307
2014,252310,clinker,32,32,38000.0,1558000
2014,252310,clinker,266,266,105150.0,4629087
2014,252310,clinker,31,31,20900.0,877800
2014,252310,clinker,380,380,49205.273,3999140
2014,252310,clinker,124,124,54210.0,3960918
2014,252310,clinker,818,Egypt,641755.0,27664819
2014,252310,clinker,170,Colombia,16900.0,692900
2014,252310,clinker,76,76,291215.0,12647355
2014,252310,clinker,204,Benin,107270.0,4695831
2014,252310,clinker,430,430,41900.0,1791700
2014,252310,clinker,642,Romania,95141.5,4272783
2014,252310,clinker,288,Ghana,382820.0,16246445
2014,252310,clinker,251,251,40800.0,1800600
2015,252310,clinker,288,Ghana,671950.0,26854956
2015,252310,clinker,380,380,59745.0,3993633
2015,252310,clinker,642,Romania,42150.0,1767591
2015,252310,clinker,100,100,4000.0,307181
2015,252310,clinker,478,Mauritania,432576.0,16612441
2015,252310,clinker,591,591,44000.0,1782000
2015,252310,clinker,208,208,22019.86,785493
2015,252310,clinker,512,Oman,11800.0,469050
2015,252310,clinker,768,Togo,288545.0,11645045
2015,252310,clinker,682,682,5080.0,453004
2015,252310,clinker,858,858,33000.0,1056000
2015,252310,clinker,566,566,80000.0,3132800
2015,252310,clinker,384,CotedIvoire,309835.0,11619264
2015,252310,clinker,76,76,226760.0,9129925
2015,252310,clinker,276,276,13.157,1633
2015,252310,clinker,170,Colombia,19020.0,704868
2015,252310,clinker,120,Cameroon,148730.0,5880968
2015,252310,clinker,266,266,52500.0,2043750
2015,252310,clinker,430,430,104000.0,4130140
2015,252310,clinker,268,268,3171.6,152874
2015,252310,clinker,324,Guinea,119360.2,4426996
2015,252310,clinker,178,178,35255.0,1162710
2015,252310,clinker,56,56,110300.0,7524284
2015,252310,clinker,196,196,143070.0,5589405
2015,252310,clinker,818,Egypt,267700.0,10450000
2015,252310,clinker,376,Israel,63250.0,2279750
2015,252310,clinker,795,795,190.0,14496
2015,252310,clinker,124,124,78195.0,5809588
2015,252310,clinker,300,300,65081.9,2804069
2015,252310,clinker,694,694,113800.0,4490950
2015,252310,clinker,214,DominicanRep,41740.0,1634121
2015,252310,clinker,842,USA,40021.66,1540954
2016,252310,clinker,795,795,700.0,80298
2016,252310,clinker,364,364,400.0,164365
2016,252310,clinker,430,430,20000.0,620800
2016,252310,clinker,31,31,4.032,2658
2016,252310,clinker,634,634,26.0,2154
2016,252310,clinker,124,124,62500.0,4590300
2016,252310,clinker,854,854,233337.0,7029360
2016,252310,clinker,642,Romania,26300.0,834800
2016,252310,clinker,120,Cameroon,190450.0,5974772
2016,252310,clinker,76,76,145147.0,4525807
2016,252310,clinker,682,682,4000.0,392310
2016,252310,clinker,768,Togo,118017.0,3789989
2016,252310,clinker,818,Egypt,105750.0,3270875
2016,252310,clinker,757,757,34870.0,1176863
2016,252310,clinker,842,USA,744600.0,24493501
2016,252310,clinker,858,858,15000.0,776968
2016,252310,clinker,214,DominicanRep,204670.0,6257638
2016,252310,clinker,178,178,36700.0,1101000
2016,252310,clinker,300,300,9027.54,721904
2016,252310,clinker,268,268,15340.4,452573
2016,252310,clinker,56,56,119000.0,9085299
2016,252310,clinker,478,Mauritania,259500.0,8421625
2016,252310,clinker,417,417,5.098,210
2016,252310,clinker,24,24,169250.0,5085500
2016,252310,clinker,384,CotedIvoire,474441.0,14746632
2016,252310,clinker,156,156,1.0,879
2016,252310,clinker,380,380,20500.0,1439256
2016,252310,clinker,288,Ghana,477941.0,14495123
2016,252310,clinker,196,196,121520.0,3949400
2016,252310,clinker,276,276,0.9,493
2016,252310,clinker,686,Senegal,124100.0,3691850
2016,252310,clinker,170,Colombia,273720.0,8350028
2016,252310,clinker,376,Israel,234250.0,7557099
2016,252310,clinker,324,Guinea,383244.0,11684760
2016,252310,clinker,694,694,46000.0,1402400
2017,252310,clinker,842,USA,299946.0,9709001
2017,252310,clinker,196,196,178270.0,5212977
2017,252310,clinker,12,Algeria,70000.0,2030000
2017,252310,clinker,478,Mauritania,85450.0,2458050
2017,252310,clinker,768,Togo,136135.0,3878683
2017,252310,clinker,854,854,40787.0,1182823
2017,252310,clinker,8,Albania,15.0,450
2017,252310,clinker,642,Romania,20800.0,638673
2017,252310,clinker,288,Ghana,749189.0,21904168
2017,252310,clinker,266,266,131835.0,3849045
2017,252310,clinker,340,340,83250.0,2650375
2017,252310,clinker,788,788,17500.0,525000
2017,252310,clinker,643,643,13400.0,439261
2017,252310,clinker,784,784,32650.0,1028475
2017,252310,clinker,124,124,129878.0,8795633
2017,252310,clinker,268,268,49951.7,1524541
2017,252310,clinker,686,Senegal,327460.0,9962320
2017,252310,clinker,214,DominicanRep,172412.0,6235866
2017,252310,clinker,724,Spain,158344.0,4785504
2017,252310,clinker,887,887,93000.0,2650500
2017,252310,clinker,760,Syria,7000.0,191000
2017,252310,clinker,694,694,72800.0,2098994
2017,252310,clinker,204,Benin,75100.0,2265275
2017,252310,clinker,120,Cameroon,103830.0,2939105
2017,252310,clinker,76,76,278757.0,8371584
2017,252310,clinker,100,100,10700.0,810840
2017,252310,clinker,380,380,24525.0,1886914
2017,252310,clinker,376,Israel,246406.0,7781943
2017,252310,clinker,324,Guinea,354182.0,10112101
2017,252310,clinker,430,430,90000.0,2581160
2017,252310,clinker,858,858,38500.0,1174250
2017,252310,clinker,56,56,20130.0,1465522
2017,252310,clinker,178,178,36630.0,1108058
2017,252310,clinker,300,300,47861.5,1599445
2017,252310,clinker,860,860,46.0,12399
2017,252310,clinker,332,Haiti,25000.0,787500
2017,252310,clinker,170,Colombia,592438.0,18013479
2017,252310,clinker,384,CotedIvoire,944655.64,27807395
2018,252310,clinker,842,USA,275965.0,9958670
2018,252310,clinker,899,899,41200.0,1442000
2018,252310,clinker,226,226,27500.0,962500
2018,252310,clinker,266,266,21000.0,714000
2018,252310,clinker,320,320,25000.0,893750
2018,252310,clinker,288,Ghana,1546870.0,52173762
2018,252310,clinker,214,DominicanRep,251340.0,10094352
2018,252310,clinker,642,Romania,45250.0,1583750
2018,252310,clinker,178,178,34870.0,1220450
2018,252310,clinker,300,300,23040.0,774699
2018,252310,clinker,76,76,177020.0,5557390
2018,252310,clinker,340,340,15000.0,536250
2018,252310,clinker,124,124,87310.0,5581054
2018,252310,clinker,196,196,123635.0,4327225
2018,252310,clinker,686,Senegal,482100.0,17021111
2018,252310,clinker,768,Togo,337430.0,11781120
2018,252310,clinker,616,616,31757.0,1333794
2018,252310,clinker,854,854,135260.0,4467280
2018,252310,clinker,268,268,137510.35,4649180
2018,252310,clinker,170,Colombia,420426.0,14606070
2018,252310,clinker,332,Haiti,172195.0,6026825
2018,252310,clinker,376,Israel,24630.0,852590
2018,252310,clinker,32,32,38100.0,1200150
2018,252310,clinker,120,Cameroon,221071.0,7732712
2018,252310,clinker,694,694,24000.0,804000
2018,252310,clinker,466,466,91745.0,3109450
2018,252310,clinker,368,368,49.58,1338
2018,252310,clinker,204,Benin,73750.0,2344925
2018,252310,clinker,191,191,3900.0,300491
2018,252310,clinker,384,CotedIvoire,513948.0,17710614
2018,252310,clinker,324,Guinea,539493.0,18597605
2018,252310,clinker,760,Syria,46020.4,1273006
2018,252310,clinker,643,643,70400.0,2310109
2018,252310,clinker,478,Mauritania,477326.0,16595036
2018,252310,clinker,430,430,67900.0,2208593
2018,252310,clinker,380,380,53879.408,3361619
2019,252310,clinker,854,854,35250.0,1136813
2019,252310,clinker,214,DominicanRep,233655.0,8117222
2019,252310,clinker,760,Syria,19135.5,519915
2019,252310,clinker,288,Ghana,2468460.0,77292156
2019,252310,clinker,148,148,26500.0,817525
2019,252310,clinker,724,Spain,187000.0,5929923
2019,252310,clinker,56,56,247591.0,7973927
2019,252310,clinker,376,Israel,442925.0,13152062
2019,252310,clinker,694,694,124750.0,3896275
2019,252310,clinker,300,300,70000.0,2175060
2019,252310,clinker,324,Guinea,927650.0,29086126
2019,252310,clinker,470,470,4500.0,353703
2019,252310,clinker,804,804,96756.0,2679274
2019,252310,clinker,208,208,0.8,1880
2019,252310,clinker,484,484,60.0,2280
2019,252310,clinker,266,266,516189.0,15862339
2019,252310,clinker,478,Mauritania,653445.0,19848318
2019,252310,clinker,204,Benin,177946.0,5440096
2019,252310,clinker,196,196,101780.0,3068812
2019,252310,clinker,624,GuineaBissau,30000.0,810000
2019,252310,clinker,332,Haiti,82500.0,2557500
2019,252310,clinker,380,380,193790.5,8149949
2019,252310,clinker,76,76,186450.0,5643825
2019,252310,clinker,120,Cameroon,647912.0,19843906
2019,252310,clinker,788,788,44000.0,1232000
2019,252310,clinker,686,Senegal,577031.0,17179520
2019,252310,clinker,24,24,161280.0,5040280
2019,252310,clinker,170,Colombia,813407.0,24895022
2019,252310,clinker,768,Togo,397297.0,11808035
2019,252310,clinker,276,276,0.92,522
2019,252310,clinker,430,430,180647.0,5662175
2019,252310,clinker,642,Romania,146560.0,4299360
2019,252310,clinker,643,643,3000.0,96000
2019,252310,clinker,268,268,116306.4,4311867
2019,252310,clinker,384,CotedIvoire,1694825.0,53035382
2019,252310,clinker,251,251,45500.0,1474000
2019,252310,clinker,842,USA,479300.0,17102138
2020,252310,clinker,724,Spain,149510.0,4132141
2020,252310,clinker,332,Haiti,205150.0,5691775
2020,252310,clinker,376,Israel,415260.0,12375981
2020,252310,clinker,214,DominicanRep,490156.0,16935791
2020,252310,clinker,324,Guinea,866948.0,24938830
2020,252310,clinker,56,56,538969.0,16708039
2020,252310,clinker,300,300,73009.0,2076230
2020,252310,clinker,430,430,215080.0,5967228
2020,252310,clinker,854,854,88925.0,2423206
2020,252310,clinker,124,124,35240.0,951480
2020,252310,clinker,384,CotedIvoire,2191680.0,61221416
2020,252310,clinker,266,266,336143.0,9192196
2020,252310,clinker,804,804,23400.0,638997
2020,252310,clinker,528,528,100100.0,2990685
2020,252310,clinker,768,Togo,674377.0,19169699
2020,252310,clinker,466,466,42700.0,1366400
2020,252310,clinker,276,276,106700.0,2998879
2020,252310,clinker,204,Benin,416930.0,11581265
2020,252310,clinker,268,268,131980.4,3599543
2020,252310,clinker,226,226,47648.5,1334158
2020,252310,clinker,624,GuineaBissau,71575.0,1950419
2020,252310,clinker,642,Romania,339273.0,9476032
2020,252310,clinker,686,Senegal,499715.0,13325561
2020,252310,clinker,703,703,13500.0,819875
2020,252310,clinker,148,148,28500.0,769500
2020,252310,clinker,508,508,56262.7,1490987
2020,252310,clinker,76,76,315816.0,8269896
2020,252310,clinker,818,Egypt,7800.0,436800
2020,252310,clinker,288,Ghana,3801070.0,105911234
2020,252310,clinker,858,858,13950.0,348750
2020,252310,clinker,120,Cameroon,900276.0,24704241
2020,252310,clinker,478,Mauritania,612582.0,16782285
2020,252310,clinker,694,694,162350.0,4435075
2020,252310,clinker,196,196,114290.0,3217375
2020,252310,clinker,380,380,333610.232,13139459
2020,252310,clinker,170,Colombia,444588.0,12117345
2020,252310,clinker,842,USA,570537.0,18467753
2020,252310,clinker,251,251,176050.0,5571900
2021,252310,clinker,226,226,69740.0,2360380
2021,252310,clinker,826,UK,48500.01,1526338
2021,252310,clinker,624,GuineaBissau,38500.0,1245860
2021,252310,clinker,528,528,10000.0,320000
2021,252310,clinker,478,Mauritania,337592.0,11042275
2021,252310,clinker,204,Benin,151320.0,4565560
2021,252310,clinker,376,Israel,723795.016,25097670
2021,252310,clinker,591,591,121250.0,3949500
2021,252310,clinker,380,380,405071.663,17656311
2021,252310,clinker,340,340,60044.0,1794210
2021,252310,clinker,120,Cameroon,625657.7,19855458
2021,252310,clinker,208,208,151095.154,4986276
2021,252310,clinker,854,854,350410.0,10214266
2021,252310,clinker,368,368,0.825,272
2021,252310,clinker,124,124,234237.002,8554982
2021,252310,clinker,270,Gambia,39725.0,1112600
2021,252310,clinker,642,Romania,405802.2,13788531
2021,252310,clinker,100,100,4708.4,167817
2021,252310,clinker,288,Ghana,1596706.0,52107014
2021,252310,clinker,36,36,0.001,10
2021,252310,clinker,266,266,9100.0,266539
2021,252310,clinker,70,70,59500.0,2124400
2021,252310,clinker,504,Morocco,6540.0,201105
2021,252310,clinker,842,USA,271816.156,12381273
2021,252310,clinker,703,703,17800.0,1163635
2021,252310,clinker,858,858,41635.1,1290687
2021,252310,clinker,694,694,52900.0,1588550
2021,252310,clinker,324,Guinea,1086902.006,34380651
2021,252310,clinker,699,699,0.002,2
2021,252310,clinker,616,616,36990.3,1372085
2021,252310,clinker,608,608,0.003,10
2021,252310,clinker,233,233,55000.0,2080650
2021,252310,clinker,251,251,282050.018,9622709
2021,252310,clinker,780,780,26000.0,923000
2021,252310,clinker,214,DominicanRep,854799.0,30043576
2021,252310,clinker,384,CotedIvoire,2081885.0,68249730
2021,252310,clinker,191,191,7400.0,281200
2021,252310,clinker,508,508,15.366,463
2021,252310,clinker,8,Albania,50100.0,1801500
2021,252310,clinker,686,Senegal,41100.0,1294650
2021,252310,clinker,372,372,17200.55,620518
2021,252310,clinker,300,300,107375.0,3706139
2021,252310,clinker,860,860,3.707,107
2021,252310,clinker,466,466,42580.0,1341270
2021,252310,clinker,268,268,17717.6,637240
2021,252310,clinker,430,430,38410.0,1128870
2021,252310,clinker,332,Haiti,397870.0,12077425
2021,252310,clinker,196,196,186900.0,6221925
2021,252310,clinker,56,56,611148.0,20617594
2021,252310,clinker,804,804,123237.0,4359169
2021,252310,clinker,170,Colombia,463064.4,14403127
2021,252310,clinker,724,Spain,516877.005,16837800
2021,252310,clinker,768,Togo,220770.0,10029801
2022,252310,clinker,512,Oman,0.013,32
2022,252310,clinker,834,834,0.002,35
2022,252310,clinker,724,Spain,659169.347,31067915
2022,252310,clinker,760,Syria,10082.5,425381
2022,252310,clinker,842,USA,310142.078,16477160
2022,252310,clinker,504,Morocco,0.006,2
2022,252310,clinker,757,757,59.397,2748
2022,252310,clinker,752,752,0.134,431
2022,252310,clinker,376,Israel,588849.254,27125968
2022,252310,clinker,642,Romania,352545.001,16003136
2022,252310,clinker,686,Senegal,42335.0,2328425
2022,252310,clinker,818,Egypt,0.001,2
2022,252310,clinker,417,417,2.234,100
2022,252310,clinker,826,UK,4.451,900
2022,252310,clinker,688,688,0.058,395
2022,252310,clinker,398,398,0.003,83
2022,252310,clinker,400,400,0.002,2
